June,czerwca
12,12
1942,1942
I,i
hope,nadzieję
will,i
be,i
able,i w
to,i
confide,się
everything,wszystko
you,że się nie i
as,i jak
have,i
never,nie
been,i
in,w
anyone,nie
and,i
a,i
great,i
source,i
of,i
comfort,i
support,w
COMMENT,KOMENTARZ DODANY PRZEZ ANNE
ADDED,KOMENTARZ DODANY PRZEZ ANNE
BY,KOMENTARZ DODANY PRZEZ ANNE
ANNE,KOMENTARZ DODANY PRZEZ ANNE
ON,KOMENTARZ DODANY PRZEZ ANNE R
SEPTEMBER,WRZEŚNIA
28,28
So,Więc
far,i
truly,naprawdę
me,mnie
so,tak
has,i się
Kitty,Najdroższa Kotku
whom,i z
now,teraz
write,do nie i
regularly,regularnie
This,i To
way,w
keeping,z i
diary,i
is,jest
much,i
nicer,się
can,nie
hardly,nie
wait,się czekać i na
for,i
those,i
moments,się w i
when,kiedy
m,nie się że jestem
Oh,Och
glad,się
brought,i
along,i
SUNDAY,NIEDZIELA
JUNE,CZERWCA
14,14
ll,i
begin,nie i
from,z i
the,i
moment,chwili w
got,i
saw,i
lying,na i
on,na
table,na i
among,i
my,i
other,i
birthday,urodziny
presents,i
went,i
were,i
bought,i
but,ale
that,że
doesn,nie
t,nie
count,i
On,W się w i
Friday,w
was,i
awake,się nie
at,w i
six,i
o,się i
clock,w i
which,i
isn,nie
surprising,nie
since,nie ponieważ
it,to i
But,Ale
not,nie
allowed,nie i
get,się
up,i
hour,i
had,i
control,kontrolować i
curiosity,ciekawość i
until,do
quarter,i
seven,do i
When,Kiedy
couldn,nie
any,nie
longer,nie
dining,jadalni
room,i pokoju
where,gdzie i
Moortje,Moortje
cat,i
welcomed,i
by,i
rubbing,z
against,i
legs,i
A,i
little,i
after,po
Daddy,i
Mama,nie
then,i potem
living,w
open,i
first,i
thing,nie
maybe,może
one,i
nicest,do i a
Then,i
bouquet,bukiet
roses,i
some,i
peonies,bukiet piwonii
potted,Potem bukiet róż kilka piwonii i roślina doniczkowa
plant,w
From,Od
blue,i
blouse,Od taty i mamy dostałem niebieską bluzkę grę butelkę soku winogronowego który moim zdaniem smakuje trochę jak wino
game,i
bottle,i
grape,i
juice,i soku się
mind,i
tastes,i
bit,i
like,jak
wine,z
