"June 12, 1942
","12 czerwca 1942
"
"I hope I will be able to confide everything to you, as I have never been able to confide in anyone, and I hope you will be a great source of comfort and support
","Mam nadzieję, że uda mi się Ci wszystko zwierzyć, bo nigdy nikomu nie mogłem się zwierzyć i mam nadzieję, że będziesz dla Ciebie wielkim źródłem pocieszenia i wsparcia
"
"COMMENT ADDED BY ANNE ON SEPTEMBER 28, 1942
","KOMENTARZ DODANY PRZEZ ANNE W DNIU 28 WRZEŚNIA 1942 R.
"
"So far you truly have been a great source of comfort to me, and so has Kitty, whom I now write to regularly
","Jak dotąd naprawdę byłaś dla mnie wielkim źródłem pocieszenia, podobnie jak Kitty, do której teraz regularnie piszę
"
"This way of keeping a diary is much nicer, and now I can hardly wait for those moments when I'm able to write in you
","Taki sposób prowadzenia dziennika jest o wiele przyjemniejszy, a teraz nie mogę się doczekać tych chwil, kiedy mogę w Tobie pisać
"
"Oh, I'm so glad I brought you along
","Och, tak się cieszę, że cię zabrałem
"
"SUNDAY, JUNE 14, 1942
","NIEDZIELA, 14 CZERWCA 1942
"
"I'll begin from the moment I got you, the moment I saw you lying on the table among my other birthday presents
","Zacznę od chwili, gdy cię dostałem, od momentu, gdy zobaczyłem cię leżącego na stole wśród innych moich prezentów urodzinowych
"
"I went along when you were bought, but that doesn't count
","Poszedłem, kiedy zostałeś kupiony, ale to się nie liczy
"
"On Friday, June 12, I was awake at six o'clock, which isn't surprising, since it was my birthday
","W piątek 12 czerwca obudziłam się o godzinie szóstej, co nie jest zaskakujące, ponieważ były to moje urodziny
"
"But I'm not allowed to get up at that hour, so I had to control my curiosity until quarter to seven
","Ale nie wolno mi wstawać o tej porze, więc musiałem kontrolować swoją ciekawość do kwadrans przed siódmą
"
"When I couldn't wait any longer, I went to the dining room, where Moortje
","Kiedy nie mogłem już dłużej czekać, udałem się do jadalni, gdzie Moortje
"
"the cat
","Kot
"
"welcomed me by rubbing against my legs
","powitał mnie, ocierając się o moje nogi
"
"A little after seven I went to Daddy and Mama and then to the living room to open my presents, and you were the first thing I saw, maybe one of my nicest presents
","Trochę po siódmej poszedłem do taty i mamy, a potem do salonu, żeby otworzyć prezenty, a ty byłeś pierwszą rzeczą, którą zobaczyłem, może jednym z moich najmilszych prezentów
"
"Then a bouquet of roses, some peonies and a potted plant
","Potem bukiet róż, kilka piwonii i roślina doniczkowa
"
"From Daddy and Mama I got a blue blouse, a game, a bottle of grape juice, which to my mind tastes a bit like wine
","Od taty i mamy dostałem niebieską bluzkę, grę, butelkę soku winogronowego, który moim zdaniem smakuje trochę jak wino
"
"after all, wine is made from grapes
","w końcu wino jest zrobione z winogron
"
"a puzzle, a jar of cold cream, 2.50 guilders and a gift certificate for two books
","puzzle, słoik zimnej śmietany, 2,50 guldenów i bon upominkowy na dwie książki
"
"I got another book as well, Camera Obscura
","Mam też inną książkę, Camera Obscura
"
"but Margot already has it, so I exchanged mine for something else
","ale Margot już to ma, więc swoje zamieniłem na coś innego
"
"a platter of homemade cookies
","półmisek domowych ciasteczek
"
"which I made myself, of course, since I've become quite an expert at baking cookies
","które oczywiście zrobiłem sam, odkąd stałem się ekspertem w pieczeniu ciastek
"
"lots of candy and a strawberry tart from Mother
","mnóstwo cukierków i truskawkowa tarta od Mother
"
"And a letter from Grammy, right on time, but of course that was just a coincidence
","I list od Grammy, w samą porę, ale to był tylko zbieg okoliczności
"
"Then Hanneli came to pick me up, and we went to school
","Potem Hanneli przyjechał po mnie i poszliśmy do szkoły
"
"During recess I
","Podczas przerwy I
"
"passed out cookies to my teachers and my class, and then it was time to get back to work
","rozdawałem ciasteczka moim nauczycielom i klasie, a potem nadszedł czas, aby wrócić do pracy
"
"I didn't arrive home until five, since I went to gym with the rest of the class
","Wróciłem do domu dopiero o piątej, ponieważ chodziłem na siłownię z resztą klasy
"
"I'm not allowed to take part because my shoulders and hips tend to get dislocated
","Nie mogę wziąć udziału, ponieważ moje ramiona i biodra mają tendencję do zwichnięcia
"
"As it was my birthday, I got to decide which game my classmates would play, and I chose volleyball
","Ponieważ były moje urodziny, musiałem zdecydować, w którą grę będą grać moi koledzy i wybrałem siatkówkę
"
"Afterward they all danced around me in a circle and sang
","Potem wszyscy tańczyli wokół mnie w kręgu i śpiewali
"
"Happy Birthday
","Wszystkiego najlepszego z okazji urodzin
"
"When I got home, Sanne Ledermann was already there
","Kiedy wróciłem do domu, Sanne Ledermann już tam była
"
"Ilse Wagner, Hanneli Goslar and Jacqueline van Maarsen came home with me after gym, since we're in the same class
","Ilse Wagner, Hanneli Goslar i Jacqueline van Maarsen wróciły ze mną do domu po siłowni, ponieważ jesteśmy w tej samej klasie
"
"Hanneli and Sanne used to be my two best friends
","Hanneli i Sanne byli kiedyś moimi dwoma najlepszymi przyjaciółmi
"
"People who saw us together used to say
","Ludzie, którzy widzieli nas razem, zwykli mawiać
"
"There goes Anne, Hanne and Sanne
","Tam idzie Anne, Hanne i Sanne
"
"I only met Jacqueline van Maarsen when I started at the Jewish Lyceum, and now she's my best friend
","Jacqueline van Maarsen poznałam dopiero, gdy zaczynałam w Jewish Lyceum, a teraz jest moją najlepszą przyjaciółką
"
"Ilse is Hanneli's best friend, and Sanne goes to another school and has friends there
","Ilse jest najlepszą przyjaciółką Hanneli, a Sanne chodzi do innej szkoły i ma tam przyjaciół
"
"They gave me a beautiful book, Dutch Sasas and Lesends, but they gave me Volume II by mistake, so I exchanged two other books for Volume I
","Dali mi piękną książkę, Dutch Sasas i Lesends, ale przez pomyłkę dali mi tom II, więc wymieniłem dwie inne książki na tom I
"
"Aunt Helene brought me a puzzle, Aunt Stephanie a darling brooch and Aunt Leny a terrific book
","Ciotka Helene przyniosła mi zagadkę, ciocia Stephanie ukochaną broszkę, a ciotka Leny wspaniałą książkę
"
"Daisy Goes to the Mountains
","Daisy jedzie w góry
"
"This morning I lay in the bathtub thinking how wonderful it would be if I had a dog like Rin Tin Tin
","Dziś rano leżałem w wannie i myślałem, jak cudownie byłoby, gdybym miał takiego psa jak Rin Tin Tin
"
